# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 9311860 80905 0.008688
2 9311860 29267 0.003143
3 9311860 21876 0.002349
4 9311860 19453 0.002089
5 9311860 17357 0.001864
6 9311860 13874 0.001490
7 9311860 15002 0.001611
8 9311860 15606 0.001676
9 9311860 9784 0.001051
10 9311860 9939 0.001067
11 9311860 8966 0.000963
12 9311860 7787 0.000836
13 9311860 7698 0.000827
14 9311860 7323 0.000786
15 9311860 14098 0.001514
16 9311860 5870 0.000630
17 9311860 7216 0.000775
18 9311860 4832 0.000519
19 9311860 6427 0.000690
20 9311860 5481 0.000589
21 9311860 4353 0.000467
22 9311860 23040 0.002474
23 9311860 3479 0.000374
24 9311860 3478 0.000374
25 9311860 8920 0.000958
26 9311860 3591 0.000386
27 9311860 3444 0.000370
28 9311860 13057 0.001402
29 9311860 3372 0.000362
30 9311860 3797 0.000408
31 9311860 3468 0.000372
32 9311860 5126 0.000550
33 9311860 3102 0.000333
34 9311860 3193 0.000343
35 9311860 3207 0.000344
36 9311860 3187 0.000342
37 9311860 7573 0.000813
38 9311860 6754 0.000725
39 9311860 3190 0.000343
40 9311860 5155 0.000554
41 9311860 3062 0.000329
42 9311860 10257 0.001101
43 9311860 4202 0.000451
44 9311860 3891 0.000418
45 9311860 4318 0.000464
46 9311860 3747 0.000402
47 9311860 3504 0.000376
48 9311860 5683 0.000610
49 9311860 6895 0.000740
50 9311860 4489 0.000482
51 9311860 7047 0.000757
52 9311860 3170 0.000340
53 9311860 3613 0.000388
54 9311860 3506 0.000377
55 9311860 6349 0.000682
56 9311860 4585 0.000492
57 9311860 3220 0.000346
58 9311860 3221 0.000346
59 9311860 7015 0.000753
60 9311860 4132 0.000444
61 9311860 11002 0.001182
62 9311860 3066 0.000329
63 9311860 5111 0.000549
64 9311860 3405 0.000366
65 9311860 3140 0.000337
66 9311860 3658 0.000393
67 9311860 7223 0.000776
68 9311860 7287 0.000783
69 9311860 3608 0.000387
70 9311860 8499 0.000913
71 9311860 4626 0.000497
72 9311860 5136 0.000552
73 9311860 3771 0.000405
74 9311860 5313 0.000571
75 9311860 3990 0.000428
76 9311860 4839 0.000520
77 9311860 6405 0.000688
78 9311860 3155 0.000339
79 9311860 5469 0.000587
80 9311860 3322 0.000357
81 9311860 4828 0.000518
82 9311860 7164 0.000769
83 9311860 3305 0.000355
84 9311860 3873 0.000416
85 9311860 3375 0.000362
86 9311860 5938 0.000638
87 9311860 5281 0.000567
88 9311860 3763 0.000404
89 9311860 5413 0.000581
90 9311860 8364 0.000898
91 9311860 3406 0.000366
92 9311860 3726 0.000400
93 9311860 3914 0.000420
94 9311860 3940 0.000423
95 9311860 5080 0.000546
96 9311860 4261 0.000458
97 9311860 3742 0.000402
98 9311860 8138 0.000874
99 9311860 4243 0.000456
100 9311860 5007 0.000538
101 9298267 5773 0.000621
102 9282287 6921 0.000746
103 9264943 4708 0.000508
104 9245108 4127 0.000446
105 9222692 4147 0.000450
106 9198415 4019 0.000437
107 9170718 4113 0.000448
108 9140806 5318 0.000582
109 9107720 4525 0.000497
110 9072608 9641 0.001063
111 9032586 4708 0.000521
112 8990224 8392 0.000933
113 8945259 5297 0.000592
114 8897600 4963 0.000558
115 8847440 5201 0.000588
116 8792141 7108 0.000808
117 8730080 6231 0.000714
118 8667109 6415 0.000740
119 8604115 5533 0.000643
120 8538676 5972 0.000699
121 8464130 6864 0.000811
122 8387265 11805 0.001407
123 8303987 8756 0.001054
124 8222262 13674 0.001663
125 8134840 5652 0.000695
126 8041142 9016 0.001121
127 7947855 7091 0.000892
128 7854423 5790 0.000737
129 7759727 8230 0.001061
130 7665142 6916 0.000902
131 7557843 6846 0.000906
132 7444234 7530 0.001012
133 7329520 7083 0.000966
134 7210110 7432 0.001031
135 7089527 6792 0.000958
136 6968006 9305 0.001335
137 6846493 6129 0.000895
138 6715061 6512 0.000970
139 6583586 8841 0.001343
140 6445026 7173 0.001113
141 6308517 7983 0.001265
142 6165171 6497 0.001054
143 6025355 7310 0.001213
144 5887435 6789 0.001153
145 5762548 7203 0.001250
146 5619587 6721 0.001196
147 5477252 6520 0.001190
148 5340039 9367 0.001754
149 5188505 8005 0.001543
150 5034727 19263 0.003826
