# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 9119907 99414 0.010901
2 9119907 60535 0.006638
3 9119907 51060 0.005599
4 9119907 47235 0.005179
5 9119907 44001 0.004825
6 9119907 40357 0.004425
7 9119907 41459 0.004546
8 9119907 40888 0.004483
9 9119907 34605 0.003794
10 9119907 35125 0.003851
11 9119907 34066 0.003735
12 9119907 32919 0.003610
13 9119907 32637 0.003579
14 9119907 32239 0.003535
15 9119907 38857 0.004261
16 9119907 29972 0.003286
17 9119907 30635 0.003359
18 9119907 28062 0.003077
19 9119907 29645 0.003251
20 9119907 28371 0.003111
21 9119907 27153 0.002977
22 9119907 46296 0.005076
23 9119907 25757 0.002824
24 9119907 25596 0.002807
25 9119907 31054 0.003405
26 9119907 26364 0.002891
27 9119907 25570 0.002804
28 9119907 35817 0.003927
29 9119907 25282 0.002772
30 9119907 25901 0.002840
31 9119907 25773 0.002826
32 9119907 28128 0.003084
33 9119907 25507 0.002797
34 9119907 25507 0.002797
35 9119907 25274 0.002771
36 9119907 25357 0.002780
37 9119907 29352 0.003218
38 9119907 28606 0.003137
39 9119907 25293 0.002773
40 9119907 27566 0.003023
41 9119907 25013 0.002743
42 9119907 32038 0.003513
43 9119907 26460 0.002901
44 9119907 37374 0.004098
45 9119907 39140 0.004292
46 9119907 38259 0.004195
47 9119907 27213 0.002984
48 9119907 29540 0.003239
49 9119907 30336 0.003326
50 9119907 27528 0.003018
51 9119907 29959 0.003285
52 9119907 26512 0.002907
53 9119907 26502 0.002906
54 9119907 26509 0.002907
55 9119907 29309 0.003214
56 9119907 27770 0.003045
57 9119907 26496 0.002905
58 9119907 25824 0.002832
59 9119907 29774 0.003265
60 9119907 27228 0.002986
61 9119907 34026 0.003731
62 9119907 26046 0.002856
63 9119907 27840 0.003053
64 9119907 26219 0.002875
65 9119907 28731 0.003150
66 9119907 29243 0.003207
67 9119907 32545 0.003569
68 9119907 31884 0.003496
69 9119907 28022 0.003073
70 9119907 32932 0.003611
71 9119907 30820 0.003379
72 9119907 31096 0.003410
73 9119907 30023 0.003292
74 9119907 29931 0.003282
75 9119907 28476 0.003122
76 9119907 28583 0.003134
77 9119907 30989 0.003398
78 9119907 27675 0.003035
79 9119907 29853 0.003273
80 9119907 28012 0.003072
81 9119907 29393 0.003223
82 9119907 31810 0.003488
83 9119907 27106 0.002972
84 9119907 28124 0.003084
85 9119907 27312 0.002995
86 9119907 30072 0.003297
87 9119907 28797 0.003158
88 9119907 27583 0.003024
89 9119907 29607 0.003246
90 9119907 32123 0.003522
91 9119907 27044 0.002965
92 9119907 27419 0.003006
93 9119907 27623 0.003029
94 9119907 27604 0.003027
95 9119907 29393 0.003223
96 9119907 29025 0.003183
97 9119907 28217 0.003094
98 9119907 31849 0.003492
99 9119907 28243 0.003097
100 9119907 28791 0.003157
101 9101534 29478 0.003239
102 9080572 30777 0.003389
103 9058026 28359 0.003131
104 9032819 27481 0.003042
105 9005195 27136 0.003013
106 8975324 26915 0.002999
107 8941839 27148 0.003036
108 8906398 27924 0.003135
109 8868331 26904 0.003034
110 8827934 33166 0.003757
111 8783102 28805 0.003280
112 8735372 32141 0.003679
113 8685617 29431 0.003388
114 8633580 28421 0.003292
115 8580410 28355 0.003305
116 8521768 28352 0.003327
117 8456894 27246 0.003222
118 8392349 27161 0.003236
119 8328110 26673 0.003203
120 8261189 27023 0.003271
121 8187372 27676 0.003380
122 8111286 31485 0.003882
123 8029746 28454 0.003544
124 7951494 32842 0.004130
125 7868064 26926 0.003422
126 7777579 29416 0.003782
127 7688967 27684 0.003600
128 7600680 26090 0.003433
129 7511808 28042 0.003733
130 7422320 26858 0.003619
131 7320949 25972 0.003548
132 7216448 26359 0.003653
133 7111556 25787 0.003626
134 7000107 25237 0.003605
135 6889015 24301 0.003527
136 6777082 25473 0.003759
137 6665478 22695 0.003405
138 6544256 22956 0.003508
139 6423576 24920 0.003879
140 6298335 24238 0.003848
141 6173415 24289 0.003934
142 6042827 23231 0.003844
143 5914765 22519 0.003807
144 5788344 21393 0.003696
145 5672206 21165 0.003731
146 5537936 21806 0.003938
147 5406584 21113 0.003905
148 5281601 23356 0.004422
149 5141496 20810 0.004047
150 4999727 31781 0.006357
