# Distribution of insert lengths
# Length Number Fraction
100 18657 0.0020
101 21268 0.0023
102 22912 0.0025
103 25615 0.0028
104 28029 0.0030
105 30287 0.0033
106 33972 0.0037
107 35927 0.0039
108 38538 0.0042
109 41003 0.0044
110 45465 0.0049
111 48323 0.0052
112 50431 0.0055
113 52771 0.0057
114 53911 0.0058
115 59442 0.0064
116 65749 0.0071
117 65398 0.0071
118 65171 0.0070
119 67877 0.0073
120 74736 0.0081
121 77119 0.0083
122 82463 0.0089
123 79327 0.0086
124 84555 0.0091
125 91470 0.0099
126 89636 0.0097
127 89298 0.0097
128 89904 0.0097
129 90745 0.0098
130 102627 0.0111
131 105829 0.0114
132 106241 0.0115
133 112833 0.0122
134 112415 0.0122
135 113348 0.0123
136 113159 0.0122
137 122860 0.0133
138 122373 0.0132
139 126878 0.0137
140 126625 0.0137
141 132213 0.0143
142 129790 0.0140
143 127895 0.0138
144 118001 0.0128
145 135961 0.0147
146 133120 0.0144
147 127067 0.0137
148 141967 0.0154
149 143648 0.0155
150 135920 0.0147
151 134786 0.0146
152 133479 0.0144
153 132473 0.0143
154 135131 0.0146
155 123249 0.0133
156 154833 0.0167
157 138969 0.0150
158 123860 0.0134
159 124839 0.0135
160 126450 0.0137
161 128360 0.0139
162 114546 0.0124
163 136451 0.0148
164 135694 0.0147
165 127825 0.0138
166 128382 0.0139
167 128429 0.0139
168 126614 0.0137
169 123959 0.0134
170 124101 0.0134
171 121339 0.0131
172 117728 0.0127
173 122940 0.0133
174 114825 0.0124
175 101327 0.0110
176 108562 0.0117
177 100940 0.0109
178 92209 0.0100
179 109214 0.0118
180 103941 0.0112
181 92876 0.0100
182 89305 0.0097
183 92602 0.0100
184 88073 0.0095
185 83103 0.0090
186 83087 0.0090
187 72619 0.0079
188 67299 0.0073
189 71861 0.0078
190 62680 0.0068
191 65336 0.0071
192 59553 0.0064
193 48433 0.0052
194 48718 0.0053
195 44004 0.0048
196 41061 0.0044
197 37385 0.0040
198 35423 0.0038
199 31804 0.0034
200 26652 0.0029
