# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 6240529 25429 0.004075
2 6240529 21088 0.003379
3 6240529 17350 0.002780
4 6240529 15799 0.002532
5 6240529 15164 0.002430
6 6240529 12639 0.002025
7 6240529 12700 0.002035
8 6240529 12831 0.002056
9 6240529 26642 0.004269
10 6240529 9930 0.001591
11 6240529 9640 0.001545
12 6240529 9114 0.001460
13 6240529 8912 0.001428
14 6240529 9345 0.001497
15 6240529 12874 0.002063
16 6240529 8012 0.001284
17 6240529 7905 0.001267
18 6240529 7882 0.001263
19 6240529 7682 0.001231
20 6240529 7794 0.001249
21 6240529 7360 0.001179
22 6240529 14722 0.002359
23 6240529 7275 0.001166
24 6240529 20401 0.003269
25 6240529 9628 0.001543
26 6240529 7416 0.001188
27 6240529 7340 0.001176
28 6240529 13949 0.002235
29 6240529 8654 0.001387
30 6240529 7730 0.001239
31 6240529 7177 0.001150
32 6240529 9436 0.001512
33 6240529 6838 0.001096
34 6240529 6848 0.001097
35 6240529 6874 0.001102
36 6240529 7000 0.001122
37 6240529 6978 0.001118
38 6240529 7308 0.001171
39 6240529 7446 0.001193
40 6240529 8603 0.001379
41 6240529 6881 0.001103
42 6240529 6902 0.001106
43 6240529 6879 0.001102
44 6240529 9497 0.001522
45 6240529 9422 0.001510
46 6240529 8504 0.001363
47 6240529 7755 0.001243
48 6240529 9194 0.001473
49 6240529 7727 0.001238
50 6240529 7171 0.001149
51 6240529 6892 0.001104
52 6240529 7103 0.001138
53 6240529 8653 0.001387
54 6240529 7049 0.001130
55 6240529 9271 0.001486
56 6240529 7095 0.001137
57 6240529 8333 0.001335
58 6240529 7580 0.001215
59 6240529 8519 0.001365
60 6240529 9406 0.001507
61 6240529 7302 0.001170
62 6240529 9363 0.001500
63 6240529 7691 0.001232
64 6240529 7130 0.001143
65 6240529 7106 0.001139
66 6240529 8066 0.001293
67 6240529 7339 0.001176
68 6240529 7962 0.001276
69 6240529 7442 0.001193
70 6240529 8230 0.001319
71 6240529 10946 0.001754
72 6240529 9607 0.001539
73 6240529 10682 0.001712
74 6240529 10242 0.001641
75 6240529 7491 0.001200
76 6240529 7300 0.001170
77 6240529 8465 0.001356
78 6240529 7488 0.001200
79 6240529 8777 0.001406
80 6240529 7216 0.001156
81 6240529 8161 0.001308
82 6240529 7192 0.001152
83 6240529 8180 0.001311
84 6240529 7466 0.001196
85 6240529 7543 0.001209
86 6240529 9988 0.001601
87 6240529 10140 0.001625
88 6240529 7647 0.001225
89 6240529 10299 0.001650
90 6240529 7827 0.001254
91 6240529 7489 0.001200
92 6240529 9654 0.001547
93 6240529 8029 0.001287
94 6240529 8168 0.001309
95 6240529 9271 0.001486
96 6240529 12543 0.002010
97 6240529 12116 0.001942
98 6240529 11412 0.001829
99 6240529 8964 0.001436
100 6240529 9392 0.001505
101 6219428 9524 0.001531
102 6195494 8984 0.001450
103 6170717 8946 0.001450
104 6144106 8816 0.001435
105 6115469 8616 0.001409
106 6085339 8770 0.001441
107 6052279 8818 0.001457
108 6018043 8659 0.001439
109 5982129 8653 0.001446
110 5945345 9258 0.001557
111 5905145 9452 0.001601
112 5863890 10869 0.001854
113 5822214 11796 0.002026
114 5778793 10050 0.001739
115 5735022 12107 0.002111
116 5687719 9483 0.001667
117 5636821 9663 0.001714
118 5586257 11253 0.002014
119 5536692 10822 0.001955
120 5486967 13247 0.002414
121 5431383 9974 0.001836
122 5375994 11008 0.002048
123 5317676 10043 0.001889
124 5261469 10493 0.001994
125 5202908 10141 0.001949
126 5140713 10056 0.001956
127 5080030 12929 0.002545
128 5020893 10565 0.002104
129 4961519 9425 0.001900
130 4903228 10588 0.002159
131 4836742 8669 0.001792
132 4767866 9174 0.001924
133 4699091 9602 0.002043
134 4627914 10025 0.002166
135 4556067 9681 0.002125
136 4485310 13198 0.002942
137 4414884 9117 0.002065
138 4338764 9376 0.002161
139 4262068 8653 0.002030
140 4182601 11282 0.002697
141 4103988 9305 0.002267
142 4021720 9685 0.002408
143 3940655 9857 0.002501
144 3861060 9119 0.002362
145 3789586 9410 0.002483
146 3708469 9609 0.002591
147 3624932 10166 0.002804
148 3545472 8628 0.002434
149 3458070 8329 0.002409
150 3367677 13673 0.004060
