# Distribution of insert lengths
# Length Number Fraction
100 21432 0.0034
101 24258 0.0038
102 25215 0.0040
103 27073 0.0043
104 29078 0.0046
105 30583 0.0048
106 33637 0.0053
107 34774 0.0055
108 36500 0.0057
109 37468 0.0059
110 40850 0.0064
111 41989 0.0066
112 42394 0.0067
113 44195 0.0070
114 44585 0.0070
115 48102 0.0076
116 51736 0.0081
117 51507 0.0081
118 50551 0.0080
119 50647 0.0080
120 56492 0.0089
121 56428 0.0089
122 59216 0.0093
123 57315 0.0090
124 59590 0.0094
125 63171 0.0099
126 61703 0.0097
127 60138 0.0095
128 60358 0.0095
129 59346 0.0093
130 67521 0.0106
131 69988 0.0110
132 69905 0.0110
133 72405 0.0114
134 73102 0.0115
135 71946 0.0113
136 71745 0.0113
137 77508 0.0122
138 78069 0.0123
139 80828 0.0127
140 80063 0.0126
141 83645 0.0132
142 82505 0.0130
143 80978 0.0127
144 72968 0.0115
145 82578 0.0130
146 85074 0.0134
147 81067 0.0128
148 88976 0.0140
149 92020 0.0145
150 87290 0.0137
151 85929 0.0135
152 85732 0.0135
153 84343 0.0133
154 85496 0.0135
155 78993 0.0124
156 95582 0.0150
157 90212 0.0142
158 81210 0.0128
159 80042 0.0126
160 81377 0.0128
161 82406 0.0130
162 76408 0.0120
163 89481 0.0141
164 89174 0.0140
165 84666 0.0133
166 85578 0.0135
167 86858 0.0137
168 84890 0.0134
169 84022 0.0132
170 84380 0.0133
171 82544 0.0130
172 80056 0.0126
173 83264 0.0131
174 79665 0.0125
175 70366 0.0111
176 74828 0.0118
177 70067 0.0110
178 64335 0.0101
179 76321 0.0120
180 73361 0.0115
181 65014 0.0102
182 63499 0.0100
183 65332 0.0103
184 62396 0.0098
185 59648 0.0094
186 59889 0.0094
187 52451 0.0083
188 49230 0.0077
189 50995 0.0080
190 45425 0.0071
191 46909 0.0074
192 43694 0.0069
193 35081 0.0055
194 35062 0.0055
195 31868 0.0050
196 29333 0.0046
197 27373 0.0043
198 26136 0.0041
199 23684 0.0037
200 19509 0.0031
