# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 5924914 59035 0.009964
2 5924914 30462 0.005141
3 5924914 25051 0.004228
4 5924914 22658 0.003824
5 5924914 20754 0.003503
6 5924914 17964 0.003032
7 5924914 18412 0.003108
8 5924914 17993 0.003037
9 5924914 13642 0.002302
10 5924914 13469 0.002273
11 5924914 12339 0.002083
12 5924914 11110 0.001875
13 5924914 10839 0.001829
14 5924914 10422 0.001759
15 5924914 13982 0.002360
16 5924914 8952 0.001511
17 5924914 9850 0.001662
18 5924914 8299 0.001401
19 5924914 9195 0.001552
20 5924914 8556 0.001444
21 5924914 7762 0.001310
22 5924914 19758 0.003335
23 5924914 7016 0.001184
24 5924914 7128 0.001203
25 5924914 10655 0.001798
26 5924914 7255 0.001224
27 5924914 6991 0.001180
28 5924914 12979 0.002191
29 5924914 6951 0.001173
30 5924914 7069 0.001193
31 5924914 6895 0.001164
32 5924914 8289 0.001399
33 5924914 6549 0.001105
34 5924914 6543 0.001104
35 5924914 6524 0.001101
36 5924914 6554 0.001106
37 5924914 9593 0.001619
38 5924914 8969 0.001514
39 5924914 6860 0.001158
40 5924914 7880 0.001330
41 5924914 6551 0.001106
42 5924914 11272 0.001902
43 5924914 7466 0.001260
44 5924914 11827 0.001996
45 5924914 11121 0.001877
46 5924914 8322 0.001405
47 5924914 8214 0.001386
48 5924914 10654 0.001798
49 5924914 10005 0.001689
50 5924914 7685 0.001297
51 5924914 9301 0.001570
52 5924914 6620 0.001117
53 5924914 7013 0.001184
54 5924914 6788 0.001146
55 5924914 8843 0.001493
56 5924914 7836 0.001323
57 5924914 6699 0.001131
58 5924914 6564 0.001108
59 5924914 9083 0.001533
60 5924914 7473 0.001261
61 5924914 12132 0.002048
62 5924914 6827 0.001152
63 5924914 8009 0.001352
64 5924914 6838 0.001154
65 5924914 6553 0.001106
66 5924914 7023 0.001185
67 5924914 9411 0.001588
68 5924914 10052 0.001697
69 5924914 7278 0.001228
70 5924914 10832 0.001828
71 5924914 11667 0.001969
72 5924914 9998 0.001687
73 5924914 10027 0.001692
74 5924914 7961 0.001344
75 5924914 6981 0.001178
76 5924914 7763 0.001310
77 5924914 8603 0.001452
78 5924914 6542 0.001104
79 5924914 7981 0.001347
80 5924914 6657 0.001124
81 5924914 7606 0.001284
82 5924914 8926 0.001507
83 5924914 6985 0.001179
84 5924914 7187 0.001213
85 5924914 7024 0.001186
86 5924914 8699 0.001468
87 5924914 8053 0.001359
88 5924914 7279 0.001229
89 5924914 8331 0.001406
90 5924914 9913 0.001673
91 5924914 6878 0.001161
92 5924914 6960 0.001175
93 5924914 7246 0.001223
94 5924914 7285 0.001230
95 5924914 9021 0.001523
96 5924914 8394 0.001417
97 5924914 8128 0.001372
98 5924914 10112 0.001707
99 5924914 8276 0.001397
100 5924914 8770 0.001480
101 5910073 9059 0.001533
102 5893110 9707 0.001647
103 5875378 8242 0.001403
104 5855832 7885 0.001347
105 5834874 7642 0.001310
106 5812216 7486 0.001288
107 5787080 7434 0.001285
108 5760829 7954 0.001381
109 5733253 7470 0.001303
110 5704322 10713 0.001878
111 5672532 7846 0.001383
112 5639503 10354 0.001836
113 5605661 8293 0.001479
114 5570289 8307 0.001491
115 5534663 8197 0.001481
116 5495506 9247 0.001683
117 5453714 8355 0.001532
118 5411113 8841 0.001634
119 5368846 8291 0.001544
120 5326467 9291 0.001744
121 5279766 8888 0.001683
122 5232082 11953 0.002285
123 5181031 10245 0.001977
124 5132594 13432 0.002617
125 5081771 9137 0.001798
126 5027053 11108 0.002210
127 4973670 9814 0.001973
128 4921360 8458 0.001719
129 4868586 9150 0.001879
130 4816695 8888 0.001845
131 4757464 8159 0.001715
132 4696006 8779 0.001869
133 4634379 8737 0.001885
134 4570077 8632 0.001889
135 4505000 8242 0.001830
136 4440589 9747 0.002195
137 4376371 7542 0.001723
138 4306705 7440 0.001728
139 4236817 9246 0.002182
140 4163776 9143 0.002196
141 4090984 9497 0.002321
142 4014633 8235 0.002051
143 3939557 8175 0.002075
144 3865862 7797 0.002017
145 3798576 8003 0.002107
146 3722034 7498 0.002014
147 3644834 7024 0.001927
148 3570661 9135 0.002558
149 3488958 8298 0.002378
150 3403998 15838 0.004653
