# Distribution of insert lengths
# Length Number Fraction
100 15187 0.0025
101 17342 0.0029
102 18189 0.0030
103 19991 0.0033
104 21479 0.0035
105 23219 0.0038
106 25739 0.0042
107 26852 0.0044
108 28203 0.0046
109 29610 0.0049
110 32548 0.0054
111 33790 0.0056
112 34652 0.0057
113 36257 0.0060
114 36515 0.0060
115 40099 0.0066
116 42734 0.0070
117 43635 0.0072
118 43406 0.0071
119 43465 0.0072
120 47814 0.0079
121 48798 0.0080
122 52243 0.0086
123 49670 0.0082
124 52005 0.0086
125 55887 0.0092
126 54630 0.0090
127 53567 0.0088
128 54096 0.0089
129 53179 0.0088
130 60523 0.0100
131 62745 0.0103
132 63023 0.0104
133 65767 0.0108
134 66508 0.0110
135 65893 0.0108
136 65826 0.0108
137 71287 0.0117
138 71539 0.0118
139 74737 0.0123
140 74464 0.0123
141 78030 0.0128
142 76818 0.0126
143 75332 0.0124
144 69124 0.0114
145 78369 0.0129
146 79073 0.0130
147 76227 0.0126
148 83754 0.0138
149 86946 0.0143
150 82664 0.0136
151 82012 0.0135
152 81817 0.0135
153 81010 0.0133
154 82450 0.0136
155 76484 0.0126
156 94058 0.0155
157 87842 0.0145
158 78014 0.0128
159 78559 0.0129
160 80667 0.0133
161 81804 0.0135
162 75419 0.0124
163 89599 0.0148
164 89442 0.0147
165 85771 0.0141
166 86233 0.0142
167 87264 0.0144
168 85729 0.0141
169 85345 0.0141
170 85588 0.0141
171 84800 0.0140
172 82600 0.0136
173 85382 0.0141
174 81378 0.0134
175 72261 0.0119
176 77350 0.0127
177 72752 0.0120
178 67356 0.0111
179 79929 0.0132
180 77096 0.0127
181 68459 0.0113
182 66218 0.0109
183 69153 0.0114
184 66336 0.0109
185 62753 0.0103
186 62814 0.0103
187 55922 0.0092
188 52082 0.0086
189 54756 0.0090
190 48826 0.0080
191 50866 0.0084
192 47094 0.0078
193 38272 0.0063
194 38000 0.0063
195 34505 0.0057
196 31936 0.0053
197 29548 0.0049
198 29070 0.0048
199 25918 0.0043
200 21281 0.0035
