# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 7136046 60857 0.008528
2 7136046 29066 0.004073
3 7136046 23386 0.003277
4 7136046 21236 0.002976
5 7136046 19707 0.002762
6 7136046 17232 0.002415
7 7136046 18335 0.002569
8 7136046 17977 0.002519
9 7136046 13512 0.001893
10 7136046 13635 0.001911
11 7136046 12793 0.001793
12 7136046 11714 0.001642
13 7136046 11733 0.001644
14 7136046 11487 0.001610
15 7136046 15967 0.002238
16 7136046 10171 0.001425
17 7136046 11180 0.001567
18 7136046 9695 0.001359
19 7136046 10771 0.001509
20 7136046 9858 0.001381
21 7136046 8991 0.001260
22 7136046 22540 0.003159
23 7136046 8136 0.001140
24 7136046 8242 0.001155
25 7136046 12289 0.001722
26 7136046 8496 0.001191
27 7136046 8239 0.001155
28 7136046 14788 0.002072
29 7136046 8105 0.001136
30 7136046 8729 0.001223
31 7136046 8309 0.001164
32 7136046 10387 0.001456
33 7136046 7904 0.001108
34 7136046 8123 0.001138
35 7136046 7985 0.001119
36 7136046 7912 0.001109
37 7136046 11365 0.001593
38 7136046 10705 0.001500
39 7136046 8231 0.001153
40 7136046 9696 0.001359
41 7136046 7947 0.001114
42 7136046 13436 0.001883
43 7136046 9037 0.001266
44 7136046 14458 0.002026
45 7136046 13556 0.001900
46 7136046 10108 0.001416
47 7136046 10186 0.001427
48 7136046 13523 0.001895
49 7136046 12299 0.001724
50 7136046 8965 0.001256
51 7136046 10820 0.001516
52 7136046 7889 0.001106
53 7136046 8481 0.001188
54 7136046 8155 0.001143
55 7136046 10541 0.001477
56 7136046 9290 0.001302
57 7136046 8046 0.001128
58 7136046 7994 0.001120
59 7136046 10820 0.001516
60 7136046 8905 0.001248
61 7136046 14455 0.002026
62 7136046 8162 0.001144
63 7136046 9442 0.001323
64 7136046 8191 0.001148
65 7136046 7921 0.001110
66 7136046 8402 0.001177
67 7136046 11132 0.001560
68 7136046 12494 0.001751
69 7136046 8785 0.001231
70 7136046 13572 0.001902
71 7136046 12677 0.001776
72 7136046 11035 0.001546
73 7136046 10885 0.001525
74 7136046 9455 0.001325
75 7136046 8270 0.001159
76 7136046 9371 0.001313
77 7136046 10412 0.001459
78 7136046 8091 0.001134
79 7136046 9551 0.001338
80 7136046 7867 0.001102
81 7136046 9085 0.001273
82 7136046 10779 0.001511
83 7136046 8239 0.001155
84 7136046 8511 0.001193
85 7136046 8537 0.001196
86 7136046 10681 0.001497
87 7136046 9499 0.001331
88 7136046 8548 0.001198
89 7136046 9821 0.001376
90 7136046 11853 0.001661
91 7136046 8107 0.001136
92 7136046 8495 0.001190
93 7136046 8657 0.001213
94 7136046 8540 0.001197
95 7136046 10187 0.001428
96 7136046 9659 0.001354
97 7136046 9175 0.001286
98 7136046 11970 0.001677
99 7136046 9185 0.001287
100 7136046 9823 0.001377
101 7128591 9958 0.001397
102 7119771 10944 0.001537
103 7110063 9202 0.001294
104 7098977 9215 0.001298
105 7086574 8934 0.001261
106 7072972 8714 0.001232
107 7057205 8563 0.001213
108 7040157 9627 0.001367
109 7021213 8599 0.001225
110 7000862 12767 0.001824
111 6977285 9125 0.001308
112 6952456 12316 0.001771
113 6925616 9973 0.001440
114 6896452 9768 0.001416
115 6865847 9726 0.001417
116 6831802 11146 0.001631
117 6793732 10110 0.001488
118 6754684 10525 0.001558
119 6714836 9732 0.001449
120 6673594 10645 0.001595
121 6626533 10575 0.001596
122 6577971 14488 0.002203
123 6524534 12896 0.001977
124 6472289 16621 0.002568
125 6416314 10377 0.001617
126 6354622 12747 0.002006
127 6293924 11106 0.001765
128 6232372 9367 0.001503
129 6169985 10915 0.001769
130 6107409 10166 0.001665
131 6035761 9910 0.001642
132 5960121 10447 0.001753
133 5882706 10213 0.001736
134 5801837 10218 0.001761
135 5719018 9415 0.001646
136 5635719 11657 0.002068
137 5552317 9071 0.001634
138 5460633 8770 0.001606
139 5368998 10984 0.002046
140 5271795 10474 0.001987
141 5174345 10964 0.002119
142 5071129 9738 0.001920
143 4971030 9575 0.001926
144 4871227 9148 0.001878
145 4779744 9282 0.001942
146 4674802 8860 0.001895
147 4570184 8450 0.001849
148 4468542 11037 0.002470
149 4353521 9687 0.002225
150 4238021 18807 0.004438
