# Distribution of insert lengths
# Length Number Fraction
100 9192 0.0014
101 10418 0.0016
102 11485 0.0018
103 12736 0.0020
104 14284 0.0022
105 15391 0.0024
106 17403 0.0027
107 18547 0.0029
108 20531 0.0032
109 21523 0.0033
110 24161 0.0037
111 25528 0.0039
112 26983 0.0042
113 29016 0.0045
114 29848 0.0046
115 33250 0.0051
116 36342 0.0056
117 37256 0.0058
118 37706 0.0058
119 39155 0.0060
120 43917 0.0068
121 45641 0.0070
122 49724 0.0077
123 48195 0.0074
124 51118 0.0079
125 55410 0.0086
126 55359 0.0085
127 54837 0.0085
128 55724 0.0086
129 55895 0.0086
130 63090 0.0097
131 67244 0.0104
132 68222 0.0105
133 71368 0.0110
134 72379 0.0112
135 72737 0.0112
136 73458 0.0113
137 79270 0.0122
138 80150 0.0124
139 83877 0.0129
140 83432 0.0129
141 88582 0.0137
142 85813 0.0132
143 85655 0.0132
144 79119 0.0122
145 89854 0.0139
146 89834 0.0139
147 87276 0.0135
148 96632 0.0149
149 98514 0.0152
150 94139 0.0145
151 92845 0.0143
152 93809 0.0145
153 92861 0.0143
154 94793 0.0146
155 87036 0.0134
156 108490 0.0167
157 98920 0.0153
158 89753 0.0139
159 90092 0.0139
160 91584 0.0141
161 92523 0.0143
162 84882 0.0131
163 101006 0.0156
164 101208 0.0156
165 95818 0.0148
166 98076 0.0151
167 97867 0.0151
168 94818 0.0146
169 94956 0.0147
170 94780 0.0146
171 92793 0.0143
172 90970 0.0140
173 94237 0.0145
174 89411 0.0138
175 79614 0.0123
176 85000 0.0131
177 80330 0.0124
178 73275 0.0113
179 86330 0.0133
180 83636 0.0129
181 74665 0.0115
182 72414 0.0112
183 75191 0.0116
184 71948 0.0111
185 68831 0.0106
186 68215 0.0105
187 60394 0.0093
188 56450 0.0087
189 59476 0.0092
190 51937 0.0080
191 54085 0.0083
192 50428 0.0078
193 41046 0.0063
194 40841 0.0063
195 37162 0.0057
196 34208 0.0053
197 31606 0.0049
198 30429 0.0047
199 27281 0.0042
200 22581 0.0035
