# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 8072460 73495 0.009104
2 8072460 29908 0.003705
3 8072460 24043 0.002978
4 8072460 21661 0.002683
5 8072460 19242 0.002384
6 8072460 15956 0.001977
7 8072460 16760 0.002076
8 8072460 16355 0.002026
9 8072460 11336 0.001404
10 8072460 11136 0.001380
11 8072460 9951 0.001233
12 8072460 8485 0.001051
13 8072460 8009 0.000992
14 8072460 7436 0.000921
15 8072460 12699 0.001573
16 8072460 6140 0.000761
17 8072460 7041 0.000872
18 8072460 4824 0.000598
19 8072460 6155 0.000762
20 8072460 5586 0.000692
21 8072460 4502 0.000558
22 8072460 19747 0.002446
23 8072460 3732 0.000462
24 8072460 3819 0.000473
25 8072460 8436 0.001045
26 8072460 3983 0.000493
27 8072460 3667 0.000454
28 8072460 11545 0.001430
29 8072460 3519 0.000436
30 8072460 4007 0.000496
31 8072460 3658 0.000453
32 8072460 6415 0.000795
33 8072460 3306 0.000410
34 8072460 3485 0.000432
35 8072460 3374 0.000418
36 8072460 3314 0.000411
37 8072460 7268 0.000900
38 8072460 6441 0.000798
39 8072460 3487 0.000432
40 8072460 5170 0.000640
41 8072460 3374 0.000418
42 8072460 9155 0.001134
43 8072460 4367 0.000541
44 8072460 4278 0.000530
45 8072460 4540 0.000562
46 8072460 4150 0.000514
47 8072460 3819 0.000473
48 8072460 5430 0.000673
49 8072460 6708 0.000831
50 8072460 4489 0.000556
51 8072460 6615 0.000819
52 8072460 3410 0.000422
53 8072460 3896 0.000483
54 8072460 3669 0.000455
55 8072460 6154 0.000762
56 8072460 4733 0.000586
57 8072460 3404 0.000422
58 8072460 3484 0.000432
59 8072460 6585 0.000816
60 8072460 4414 0.000547
61 8072460 10166 0.001259
62 8072460 3406 0.000422
63 8072460 5043 0.000625
64 8072460 3486 0.000432
65 8072460 3306 0.000410
66 8072460 3896 0.000483
67 8072460 6842 0.000848
68 8072460 6840 0.000847
69 8072460 3709 0.000459
70 8072460 8095 0.001003
71 8072460 4685 0.000580
72 8072460 5000 0.000619
73 8072460 3931 0.000487
74 8072460 5205 0.000645
75 8072460 4199 0.000520
76 8072460 4803 0.000595
77 8072460 5988 0.000742
78 8072460 3529 0.000437
79 8072460 5365 0.000665
80 8072460 3680 0.000456
81 8072460 4862 0.000602
82 8072460 6698 0.000830
83 8072460 3678 0.000456
84 8072460 4168 0.000516
85 8072460 3775 0.000468
86 8072460 6132 0.000760
87 8072460 5428 0.000672
88 8072460 4232 0.000524
89 8072460 5352 0.000663
90 8072460 8153 0.001010
91 8072460 3648 0.000452
92 8072460 3965 0.000491
93 8072460 4126 0.000511
94 8072460 4102 0.000508
95 8072460 5301 0.000657
96 8072460 4405 0.000546
97 8072460 4078 0.000505
98 8072460 7800 0.000966
99 8072460 4464 0.000553
100 8072460 5317 0.000659
101 8054457 5909 0.000734
102 8033739 6812 0.000848
103 8011876 5021 0.000627
104 7987200 4462 0.000559
105 7959606 4616 0.000580
106 7929870 4255 0.000537
107 7896560 4434 0.000562
108 7860602 5411 0.000688
109 7822011 4656 0.000595
110 7781175 9159 0.001177
111 7736099 5029 0.000650
112 7688002 8236 0.001071
113 7638312 5358 0.000701
114 7585636 5424 0.000715
115 7532070 5382 0.000715
116 7473070 7263 0.000972
117 7408293 6009 0.000811
118 7343019 6467 0.000881
119 7277454 5626 0.000773
120 7210148 6685 0.000927
121 7135662 6476 0.000908
122 7059230 10804 0.001530
123 6977786 8119 0.001164
124 6898843 12118 0.001757
125 6817184 5482 0.000804
126 6728906 8480 0.001260
127 6641862 6807 0.001025
128 6557213 5658 0.000863
129 6472075 7623 0.001178
130 6386719 6383 0.000999
131 6291142 6443 0.001024
132 6191405 7041 0.001137
133 6091380 6949 0.001141
134 5987617 7137 0.001192
135 5882876 6425 0.001092
136 5779503 8427 0.001458
137 5676751 5753 0.001013
138 5566838 6035 0.001084
139 5457035 8075 0.001480
140 5343237 6570 0.001230
141 5230751 7238 0.001384
142 5113168 6345 0.001241
143 4997873 6906 0.001382
144 4884835 6326 0.001295
145 4782417 6790 0.001420
146 4666869 6064 0.001299
147 4551426 6048 0.001329
148 4441341 8317 0.001873
149 4321295 7211 0.001669
150 4198102 16806 0.004003
