# nread -> total number of read pairs read from the FASTQ files.
nread 10288505
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 0
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 1228530
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 8355
# nattempted -> number of read pairs we attempted to align
nattempted 9059975
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 8212412
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 8072460
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 8072460
