# Distribution of insert lengths
# Length Number Fraction
100 15437 0.0011
101 17924 0.0013
102 20093 0.0015
103 22918 0.0017
104 25941 0.0019
105 29046 0.0022
106 33680 0.0025
107 36574 0.0027
108 40923 0.0030
109 44489 0.0033
110 50801 0.0038
111 55335 0.0041
112 59845 0.0045
113 64497 0.0048
114 68555 0.0051
115 76770 0.0057
116 86193 0.0064
117 88412 0.0066
118 91381 0.0068
119 95528 0.0071
120 107725 0.0080
121 111945 0.0083
122 122254 0.0091
123 120995 0.0090
124 129383 0.0096
125 140048 0.0104
126 140155 0.0104
127 140571 0.0105
128 143586 0.0107
129 143959 0.0107
130 162869 0.0121
131 171430 0.0128
132 174692 0.0130
133 184072 0.0137
134 185880 0.0138
135 185442 0.0138
136 186601 0.0139
137 199615 0.0149
138 201373 0.0150
139 209717 0.0156
140 207658 0.0155
141 218556 0.0163
142 211216 0.0157
143 208451 0.0155
144 189064 0.0141
145 214949 0.0160
146 214122 0.0159
147 206106 0.0153
148 225952 0.0168
149 230063 0.0171
150 216821 0.0161
151 213334 0.0159
152 213867 0.0159
153 207943 0.0155
154 208770 0.0155
155 190197 0.0142
156 233902 0.0174
157 213874 0.0159
158 188633 0.0140
159 188546 0.0140
160 190382 0.0142
161 188756 0.0141
162 173127 0.0129
163 201116 0.0150
164 198875 0.0148
165 188096 0.0140
166 188533 0.0140
167 186425 0.0139
168 181231 0.0135
169 177926 0.0133
170 176585 0.0132
171 169848 0.0126
172 163782 0.0122
173 169758 0.0126
174 157042 0.0117
175 139981 0.0104
176 145566 0.0108
177 134849 0.0100
178 122837 0.0091
179 142716 0.0106
180 135437 0.0101
181 119212 0.0089
182 113655 0.0085
183 116449 0.0087
184 110319 0.0082
185 102970 0.0077
186 102713 0.0076
187 89514 0.0067
188 81901 0.0061
189 86520 0.0064
190 75379 0.0056
191 76770 0.0057
192 69907 0.0052
193 57248 0.0043
194 56260 0.0042
195 50725 0.0038
196 46490 0.0035
197 43002 0.0032
198 41347 0.0031
199 36278 0.0027
200 29796 0.0022
