# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 11487382 47428 0.004129
2 11487382 41607 0.003622
3 11487382 34494 0.003003
4 11487382 31518 0.002744
5 11487382 29172 0.002539
6 11487382 24764 0.002156
7 11487382 23435 0.002040
8 11487382 25136 0.002188
9 11487382 53044 0.004618
10 11487382 19619 0.001708
11 11487382 23259 0.002025
12 11487382 17701 0.001541
13 11487382 22380 0.001948
14 11487382 16507 0.001437
15 11487382 24362 0.002121
16 11487382 15431 0.001343
17 11487382 14856 0.001293
18 11487382 23549 0.002050
19 11487382 14454 0.001258
20 11487382 14555 0.001267
21 11487382 13612 0.001185
22 11487382 28335 0.002467
23 11487382 13305 0.001158
24 11487382 13735 0.001196
25 11487382 41219 0.003588
26 11487382 13458 0.001172
27 11487382 13642 0.001188
28 11487382 33213 0.002891
29 11487382 13370 0.001164
30 11487382 13545 0.001179
31 11487382 12870 0.001120
32 11487382 15268 0.001329
33 11487382 17286 0.001505
34 11487382 12563 0.001094
35 11487382 12555 0.001093
36 11487382 12586 0.001096
37 11487382 18541 0.001614
38 11487382 17398 0.001515
39 11487382 12520 0.001090
40 11487382 12493 0.001088
41 11487382 12311 0.001072
42 11487382 12570 0.001094
43 11487382 12604 0.001097
44 11487382 24267 0.002112
45 11487382 21955 0.001911
46 11487382 14831 0.001291
47 11487382 13460 0.001172
48 11487382 14269 0.001242
49 11487382 17812 0.001551
50 11487382 12854 0.001119
51 11487382 12209 0.001063
52 11487382 14415 0.001255
53 11487382 12420 0.001081
54 11487382 17254 0.001502
55 11487382 12643 0.001101
56 11487382 12955 0.001128
57 11487382 17521 0.001525
58 11487382 16936 0.001474
59 11487382 18237 0.001588
60 11487382 13060 0.001137
61 11487382 13060 0.001137
62 11487382 12784 0.001113
63 11487382 17767 0.001547
64 11487382 13330 0.001160
65 11487382 13192 0.001148
66 11487382 18594 0.001619
67 11487382 21202 0.001846
68 11487382 16815 0.001464
69 11487382 13904 0.001210
70 11487382 14241 0.001240
71 11487382 17655 0.001537
72 11487382 16652 0.001450
73 11487382 16083 0.001400
74 11487382 13758 0.001198
75 11487382 17094 0.001488
76 11487382 13481 0.001174
77 11487382 13287 0.001157
78 11487382 13561 0.001181
79 11487382 13293 0.001157
80 11487382 13315 0.001159
81 11487382 13322 0.001160
82 11487382 13523 0.001177
83 11487382 13502 0.001175
84 11487382 13204 0.001149
85 11487382 14394 0.001253
86 11487382 14456 0.001258
87 11487382 13022 0.001134
88 11487382 13820 0.001203
89 11487382 14058 0.001224
90 11487382 14038 0.001222
91 11487382 17408 0.001515
92 11487382 18640 0.001623
93 11487382 16031 0.001396
94 11487382 14513 0.001263
95 11487382 16404 0.001428
96 11487382 16294 0.001418
97 11487382 17053 0.001484
98 11487382 15311 0.001333
99 11487382 49670 0.004324
100 11487382 16413 0.001429
101 11474436 20422 0.001780
102 11459220 30219 0.002637
103 11442127 15673 0.001370
104 11422475 16203 0.001419
105 11400572 15831 0.001389
106 11376100 20714 0.001821
107 11347650 15812 0.001393
108 11316142 20811 0.001839
109 11281561 15795 0.001400
110 11243853 16501 0.001468
111 11200956 16586 0.001481
112 11153883 17535 0.001572
113 11104337 19044 0.001715
114 11050524 18663 0.001689
115 10993823 18020 0.001639
116 10930127 17344 0.001587
117 10858912 18076 0.001665
118 10785553 17016 0.001578
119 10709937 17526 0.001636
120 10631006 19516 0.001836
121 10542261 18014 0.001709
122 10448917 18158 0.001738
123 10347840 19592 0.001893
124 10248660 22471 0.002193
125 10142012 19818 0.001954
126 10026286 19275 0.001922
127 9911618 17643 0.001780
128 9796731 19154 0.001955
129 9678558 22361 0.002310
130 9560537 19509 0.002041
131 9426514 17259 0.001831
132 9286137 17815 0.001918
133 9142969 19139 0.002093
134 8993028 20455 0.002275
135 8841128 18795 0.002126
136 8688892 17813 0.002050
137 8536271 20879 0.002446
138 8372845 17703 0.002114
139 8208612 16725 0.002037
140 8036618 21664 0.002696
141 7865898 17990 0.002287
142 7685714 18130 0.002359
143 7510435 18238 0.002428
144 7337098 18067 0.002462
145 7177002 18715 0.002608
146 6997012 16830 0.002405
147 6818440 16782 0.002461
148 6646133 16360 0.002462
149 6455960 17586 0.002724
150 6263652 29496 0.004709
