# Distribution of insert lengths
# Length Number Fraction
100 14689 0.0011
101 17255 0.0013
102 18686 0.0014
103 21938 0.0016
104 24846 0.0018
105 28715 0.0021
106 32717 0.0024
107 35963 0.0026
108 40073 0.0029
109 44332 0.0032
110 50697 0.0037
111 54910 0.0040
112 59352 0.0043
113 64141 0.0047
114 66032 0.0048
115 75822 0.0055
116 86936 0.0063
117 88980 0.0065
118 89522 0.0065
119 95184 0.0069
120 107100 0.0078
121 111837 0.0082
122 120323 0.0088
123 119832 0.0087
124 131193 0.0096
125 143129 0.0104
126 139002 0.0101
127 140802 0.0103
128 143421 0.0105
129 146077 0.0107
130 166296 0.0121
131 172452 0.0126
132 174026 0.0127
133 186546 0.0136
134 186167 0.0136
135 186814 0.0136
136 190591 0.0139
137 204346 0.0149
138 204506 0.0149
139 207015 0.0151
140 212364 0.0155
141 219005 0.0160
142 217318 0.0159
143 213034 0.0155
144 194235 0.0142
145 220579 0.0161
146 220156 0.0161
147 205348 0.0150
148 225586 0.0165
149 238932 0.0174
150 220049 0.0161
151 220166 0.0161
152 216613 0.0158
153 209343 0.0153
154 218417 0.0159
155 193699 0.0141
156 244123 0.0178
157 220389 0.0161
158 190921 0.0139
159 194929 0.0142
160 195439 0.0143
161 195312 0.0143
162 175775 0.0128
163 205041 0.0150
164 203954 0.0149
165 191904 0.0140
166 188108 0.0137
167 192173 0.0140
168 190068 0.0139
169 183260 0.0134
170 184377 0.0135
171 177658 0.0130
172 169092 0.0123
173 179462 0.0131
174 164285 0.0120
175 140970 0.0103
176 151895 0.0111
177 140993 0.0103
178 127140 0.0093
179 150749 0.0110
180 140685 0.0103
181 124139 0.0091
182 118472 0.0086
183 121021 0.0088
184 115430 0.0084
185 107128 0.0078
186 105589 0.0077
187 91036 0.0066
188 83703 0.0061
189 92231 0.0067
190 79952 0.0058
191 80575 0.0059
192 74028 0.0054
193 59184 0.0043
194 58616 0.0043
195 52876 0.0039
196 48724 0.0036
197 44765 0.0033
198 42054 0.0031
199 37844 0.0028
200 31804 0.0023
