# Distribution of insert lengths
# Length Number Fraction
100 14334 0.0011
101 16697 0.0013
102 18056 0.0014
103 20786 0.0016
104 23482 0.0019
105 26431 0.0021
106 30421 0.0024
107 33283 0.0026
108 36713 0.0029
109 39946 0.0032
110 45410 0.0036
111 48471 0.0038
112 51445 0.0041
113 55218 0.0044
114 56998 0.0045
115 64985 0.0051
116 72962 0.0058
117 75695 0.0060
118 76522 0.0061
119 81125 0.0064
120 89696 0.0071
121 94811 0.0075
122 102095 0.0081
123 101655 0.0081
124 109024 0.0086
125 120011 0.0095
126 117398 0.0093
127 117761 0.0093
128 121226 0.0096
129 121992 0.0097
130 140703 0.0111
131 146530 0.0116
132 148103 0.0117
133 158614 0.0126
134 160257 0.0127
135 160939 0.0128
136 162039 0.0128
137 174795 0.0139
138 177802 0.0141
139 179752 0.0142
140 186195 0.0148
141 191938 0.0152
142 192820 0.0153
143 187892 0.0149
144 173728 0.0138
145 196410 0.0156
146 195805 0.0155
147 185376 0.0147
148 202219 0.0160
149 216508 0.0172
150 199310 0.0158
151 202324 0.0160
152 201097 0.0159
153 192250 0.0152
154 201877 0.0160
155 181658 0.0144
156 227355 0.0180
157 208898 0.0166
158 181201 0.0144
159 185089 0.0147
160 187774 0.0149
161 186832 0.0148
162 166932 0.0132
163 201025 0.0159
164 196898 0.0156
165 185654 0.0147
166 182698 0.0145
167 187160 0.0148
168 185337 0.0147
169 179713 0.0142
170 179105 0.0142
171 174182 0.0138
172 166586 0.0132
173 174113 0.0138
174 162208 0.0129
175 138108 0.0109
176 150428 0.0119
177 138818 0.0110
178 126209 0.0100
179 149384 0.0118
180 139995 0.0111
181 123387 0.0098
182 117497 0.0093
183 120838 0.0096
184 114342 0.0091
185 105932 0.0084
186 105652 0.0084
187 90995 0.0072
188 83850 0.0066
189 90462 0.0072
190 78310 0.0062
191 80156 0.0064
192 73899 0.0059
193 58237 0.0046
194 58059 0.0046
195 52588 0.0042
196 48652 0.0039
197 43653 0.0035
198 41286 0.0033
199 37398 0.0030
200 30735 0.0024
