# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 6385461 59798 0.009365
2 6385461 30378 0.004757
3 6385461 24674 0.003864
4 6385461 22757 0.003564
5 6385461 20699 0.003242
6 6385461 18170 0.002846
7 6385461 18668 0.002924
8 6385461 18402 0.002882
9 6385461 14057 0.002201
10 6385461 14019 0.002195
11 6385461 12902 0.002021
12 6385461 12099 0.001895
13 6385461 11464 0.001795
14 6385461 10864 0.001701
15 6385461 15496 0.002427
16 6385461 9518 0.001491
17 6385461 10350 0.001621
18 6385461 8993 0.001408
19 6385461 9883 0.001548
20 6385461 9358 0.001466
21 6385461 8075 0.001265
22 6385461 21215 0.003322
23 6385461 7466 0.001169
24 6385461 7566 0.001185
25 6385461 11174 0.001750
26 6385461 7758 0.001215
27 6385461 7495 0.001174
28 6385461 14325 0.002243
29 6385461 7412 0.001161
30 6385461 7571 0.001186
31 6385461 7498 0.001174
32 6385461 9111 0.001427
33 6385461 7155 0.001121
34 6385461 7147 0.001119
35 6385461 7177 0.001124
36 6385461 7249 0.001135
37 6385461 10297 0.001613
38 6385461 9521 0.001491
39 6385461 7224 0.001131
40 6385461 8621 0.001350
41 6385461 7083 0.001109
42 6385461 12133 0.001900
43 6385461 8144 0.001275
44 6385461 13353 0.002091
45 6385461 12336 0.001932
46 6385461 9350 0.001464
47 6385461 9481 0.001485
48 6385461 12852 0.002013
49 6385461 11199 0.001754
50 6385461 8066 0.001263
51 6385461 9898 0.001550
52 6385461 7203 0.001128
53 6385461 7797 0.001221
54 6385461 7524 0.001178
55 6385461 9752 0.001527
56 6385461 8662 0.001357
57 6385461 7253 0.001136
58 6385461 7230 0.001132
59 6385461 9723 0.001523
60 6385461 8035 0.001258
61 6385461 12886 0.002018
62 6385461 7391 0.001157
63 6385461 8416 0.001318
64 6385461 7249 0.001135
65 6385461 7134 0.001117
66 6385461 7695 0.001205
67 6385461 10015 0.001568
68 6385461 10861 0.001701
69 6385461 7755 0.001214
70 6385461 11960 0.001873
71 6385461 12786 0.002002
72 6385461 10556 0.001653
73 6385461 11056 0.001731
74 6385461 8356 0.001309
75 6385461 7379 0.001156
76 6385461 8275 0.001296
77 6385461 9282 0.001454
78 6385461 7163 0.001122
79 6385461 8497 0.001331
80 6385461 7113 0.001114
81 6385461 8189 0.001282
82 6385461 9514 0.001490
83 6385461 7467 0.001169
84 6385461 7716 0.001208
85 6385461 7572 0.001186
86 6385461 9534 0.001493
87 6385461 8565 0.001341
88 6385461 7562 0.001184
89 6385461 8729 0.001367
90 6385461 10621 0.001663
91 6385461 7309 0.001145
92 6385461 7562 0.001184
93 6385461 7851 0.001230
94 6385461 7978 0.001249
95 6385461 9441 0.001479
96 6385461 9018 0.001412
97 6385461 8487 0.001329
98 6385461 10877 0.001703
99 6385461 8688 0.001361
100 6385461 9135 0.001431
101 6376491 9323 0.001462
102 6366283 10134 0.001592
103 6355060 8404 0.001322
104 6342569 8042 0.001268
105 6328573 8045 0.001271
106 6313487 7709 0.001221
107 6296423 7736 0.001229
108 6278194 8560 0.001363
109 6258005 7971 0.001274
110 6236840 11739 0.001882
111 6213089 8721 0.001404
112 6187967 11349 0.001834
113 6161468 9028 0.001465
114 6132978 8874 0.001447
115 6103617 8878 0.001455
116 6070900 10030 0.001652
117 6035179 9162 0.001518
118 5998571 9632 0.001606
119 5961586 9151 0.001535
120 5923107 9992 0.001687
121 5879820 9885 0.001681
122 5834857 13005 0.002229
123 5785797 11081 0.001915
124 5738325 15012 0.002616
125 5687926 9483 0.001667
126 5633250 11687 0.002075
127 5578634 10173 0.001824
128 5524525 8963 0.001622
129 5469571 9946 0.001818
130 5414474 9638 0.001780
131 5352169 8910 0.001665
132 5285729 9620 0.001820
133 5218435 9521 0.001824
134 5148015 9296 0.001806
135 5076555 8664 0.001707
136 5004785 10588 0.002116
137 4932281 8468 0.001717
138 4854078 8348 0.001720
139 4775047 10245 0.002146
140 4692232 9969 0.002125
141 4609902 10271 0.002228
142 4522479 9145 0.002022
143 4437806 9032 0.002035
144 4353263 8525 0.001958
145 4275282 8670 0.002028
146 4186646 8025 0.001917
147 4098145 7891 0.001926
148 4012193 10002 0.002493
149 3916985 9046 0.002309
150 3819870 17035 0.004460
